"","correct","stop","time","midpoint","diff"
"1",TRUE,FALSE,2.78549265861511,5,1
"2",TRUE,FALSE,1.38361835479736,6,2
"3",TRUE,FALSE,0.847810983657837,7,3
"4",TRUE,FALSE,1.47459650039673,7,2
"5",TRUE,FALSE,1.39613652229309,7,1
"6",TRUE,FALSE,0.828156232833862,6,1
"7",TRUE,FALSE,1.15965008735657,7,2
"8",TRUE,FALSE,0.904038190841675,5,2
"9",TRUE,FALSE,0.710342407226562,6,3
"10",TRUE,FALSE,1.24307298660278,5,1
"11",TRUE,FALSE,1.19310402870178,7,1
"12",TRUE,FALSE,1.10038042068481,5,3
"13",TRUE,FALSE,2.25128245353699,6,1
"14",TRUE,FALSE,0.929026126861572,6,3
"15",TRUE,FALSE,1.24472761154175,6,2
"16",TRUE,FALSE,1.4418740272522,5,2
"17",TRUE,FALSE,0.853117227554321,7,3
"18",TRUE,FALSE,0.868017911911011,5,3
